koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
FALSE POSITIVE,0,0,1,0,2.102416517,134.394943,1.236,1.7684,1502.5,29.29,1435,1003.06,94.3,1,5999,4.494,0.959,294.0217,48.390419,15.642
FALSE POSITIVE,0,1,0,0,11.7031093,133.721698,1.279,2.0467,4201,37.3,811,102.47,126.6,1,6014,4.494,0.958,296.93268,48.266491,15.003
CANDIDATE,0,0,0,0,13.73808249,134.43787,0.957,3.354,660.7,3.84,912,163.52,68.4,1,6375,4.292,1.178,298.18362,42.01313,13.805
FALSE POSITIVE,0,1,0,0,16.66216657,142.186468,7.444,3.8762,27442,843.45,834,114.41,114.5,1,6440,4.38,1.169,286.30026,42.374828,13.344
FALSE POSITIVE,0,1,1,1,0.752159702,134.047229,1.272,2.3621,3425,43.73,2224,5767.22,291.1,1,5916,4.296,1.175,297.10837,42.751663,11.884
FALSE POSITIVE,0,1,1,1,4.81886153,358.16338,0.924,6.223,1318.6,2.96,803,98.29,86.3,1,5030,4.658,0.651,294.09109,42.491459,15.932
CONFIRMED,0,0,0,0,125.8654019,236.659731,0.101,9.0191,12390,12.37,394,5.71,544.7,1,5933,4.342,1.115,297.46533,42.882839,13.956
CONFIRMED,0,0,0,0,34.5439452,132.68453,0.87,3.482,429.8,2.67,607,32.02,23.4,2,5933,4.342,1.115,297.46533,42.882839,13.956
CONFIRMED,0,0,0,0,10.74241765,133.2867,0.034,6.0633,415.2,3.06,1008,243.94,95.4,1,5761,4.091,1.518,294.21893,49.479221,13.438
FALSE POSITIVE,0,1,0,0,4.02378908,136.23411,0.715,3.237,32.1,2.24,2504,9293.19,36.1,1,7516,3.651,3.685,301.26144,45.104893,10.083
CONFIRMED,0,1,0,0,2.495780169,135.336948,0.133,4.2721,25070,15.75,1408,929.47,171.4,1,6039,4.426,0.992,296.50739,49.457291,14.152
FALSE POSITIVE,0,1,0,0,8.428090255,358.303469,6.787,1.881,11356,517.43,817,105.54,183,1,5761,4.573,0.805,284.98886,49.62606,15.977
FALSE POSITIVE,0,1,0,0,1.714274727,133.3158074,1.182,2.06728,28460,25,827,110.02,987.2,1,3874,4.715,0.535,295.62222,42.09288,15.686
FALSE POSITIVE,0,1,0,0,137.759605,173.16476,0.776,9.1713,83298,49.52,396,5.81,885.9,1,5323,4.085,1.452,295.86691,42.062672,15.324
FALSE POSITIVE,0,1,0,0,2.155278342,133.576109,0.926,2.1064,20739,16.89,1272,620.67,142.7,1,5665,4.568,0.82,297.70712,42.047371,13.997
FALSE POSITIVE,0,1,0,0,3.661326482,135.26995,0.812,2.5714,17846,12.07,1023,258.6,424.6,1,5319,4.501,0.798,298.09171,41.794128,14.349
CONFIRMED,0,0,0,0,4.75400072,128.547155,0.672,2.5394,748.7,2,775,85.23,141.4,1,4728,4.628,0.693,287.99789,50.944328,13.461
FALSE POSITIVE,0,1,1,1,9.08937826,139.08364,0.982,6.255,779.8,5.35,1104,351.45,72.7,1,6739,4.332,1.275,297.116,47.737949,14.408
CONFIRMED,0,0,0,0,3.234699282,121.4865708,0.079,3.59385,10559,13.06,1356,797.62,3003.8,1,5640,4.236,1.291,296.83725,48.239944,13.303
CONFIRMED,0,0,0,0,31.99552485,154.160745,0.69,4.2817,1376.1,4.12,582,27.17,128,1,5657,4.364,1.046,297.11511,41.909142,13.709
FALSE POSITIVE,0,1,0,0,1.577800747,133.307724,1.332,2.1626,697.7,31.24,1513,1236.23,79.6,1,6089,4.566,0.802,292.08905,47.929642,15.031
CANDIDATE,0,1,0,0,2.380862632,135.3252117,0.664,4.20416,32634,21.65,1480,1133,2590.6,1,5821,4.297,1.129,289.79077,48.448139,13.802
FALSE POSITIVE,0,0,1,1,1.752567456,134.47196,1.218,5.4993,607.3,26.56,1502,1202.54,92.2,1,5739,4.433,0.996,298.80545,42.39584,14.449
CONFIRMED,0,0,0,0,51.92920654,151.93321,0.398,5.2637,3425.8,8.49,574,25.6,81.8,1,5671,4.128,1.442,294.96606,42.708569,15.897
CANDIDATE,0,0,0,0,3.014330766,357.37948,0.01,2.4747,975.3,2.87,1124,377.79,57.3,1,5209,4.446,0.953,298.45953,42.187431,15.673
CANDIDATE,0,0,0,0,5.644914154,356.73699,0.445,2.2599,1397.9,2.66,744,72.38,63.9,1,4769,4.622,0.714,295.8255,42.94339,15.505
CONFIRMED,0,0,0,0,3.105507835,133.210427,0.799,1.7458,904.6,2.68,980,217.91,178.6,1,4989,4.585,0.791,287.05173,40.211552,13.341
FALSE POSITIVE,0,1,1,0,1.336109338,178.258786,1.28,1.7419,2204.3,35.19,1727,2106.49,150,1,6119,4.46,0.967,285.41196,48.725231,15.507
CANDIDATE,0,0,0,0,13.35151248,363.086742,0.573,3.6045,3308.8,4.44,585,27.77,107.9,1,4843,4.562,0.754,290.1127,48.577782,15.825
CONFIRMED,0,0,0,0,5.841636615,135.92315,0.026,1.8734,1336.3,1.38,446,9.38,41.1,1,3526,4.866,0.383,286.54001,49.437328,15.921
CONFIRMED,0,0,0,0,19.85029495,133.64933,0.217,2.8407,1607.5,1.52,297,1.83,34.4,2,3526,4.866,0.383,286.54001,49.437328,15.921
FALSE POSITIVE,0,1,0,0,119.4081716,232.649303,0.915,9.3537,18563,16.26,328,2.72,508.4,1,5316,4.477,0.872,281.74261,42.123081,14.427
FALSE POSITIVE,0,1,1,0,1.171536413,178.597581,0.973,1.5878,1132.7,7.12,2387,7673.2,67,1,7021,4.275,1.485,297.88437,41.931252,15.634
FALSE POSITIVE,0,1,1,1,3.053563251,133.88354,1.208,3.2551,508.4,21.79,1171,444.16,50.4,1,5764,4.548,0.863,298.13525,41.95105,14.598
FALSE POSITIVE,0,0,1,1,1.031096352,133.93938,0.979,2.781,265.4,2.36,2020,3954.46,37.8,1,6371,4.426,1.072,296.14877,47.934872,15.131
CONFIRMED,0,0,0,0,11.00817635,143.22611,0.025,2.013,1462.5,2.15,488,13.39,42.1,1,4141,4.684,0.582,293.61371,47.839001,15.847
CONFIRMED,0,0,0,0,52.5008645,171.52114,0.11,14.9066,946.7,12.41,812,102.94,116.2,1,4976,3.331,4.157,293.2822,48.2859,12.183
CONFIRMED,0,0,0,0,0.63133171,133.94488,0.726,1.1487,434.5,1.2,1322,726.72,95.8,1,4441,4.71,0.53,291.59409,48.44561,14.285
CONFIRMED,0,0,0,0,12.69905011,184.9868,0.663,2.9899,797.4,2.62,686,52.55,30.4,1,5291,4.489,0.882,293.14648,47.729649,15.824
CANDIDATE,0,0,0,0,8.74292005,358.59286,0.025,2.6277,779.5,1.92,643,40.33,30.7,2,4769,4.622,0.714,295.8255,42.94339,15.505
CANDIDATE,0,0,0,0,37.1011418,370.4803,0.41,5.5556,1357.5,3.19,532,18.95,55.2,2,5986,4.527,0.85,291.02069,42.46244,15.229
CANDIDATE,0,0,0,0,104.8205868,374.83154,0.918,4.4794,3920.1,6.45,376,4.74,76.6,1,5986,4.527,0.85,291.02069,42.46244,15.229
CONFIRMED,0,0,0,0,10.8644095,131.12833,0.763,1.853,748.7,1.14,363,4.09,16.8,3,3526,4.866,0.383,286.54001,49.437328,15.921
CONFIRMED,0,0,0,0,124.4197175,150.59616,0.017,3.7197,4107,10.3,416,7.07,39.9,1,5066,3.974,1.659,284.25131,48.809608,15.74
CONFIRMED,0,0,0,0,1.219568047,133.460233,0.067,1.5681,494.9,1.51,1252,578.96,65.9,1,4838,4.625,0.701,292.32858,49.653542,15.127
CONFIRMED,0,0,0,0,2.05388477,133.73432,0.282,2.1635,546.7,2.74,1523,1271.11,50,1,5632,4.282,1.176,296.32199,48.971481,15.269
CONFIRMED,0,0,0,0,38.86848956,171.30369,0.028,6.0573,1004.9,2.81,509,15.89,73.4,3,5618,4.46,0.897,283.20917,48.777641,14.232
CONFIRMED,1,0,0,0,35.7353616,151.1133,0.878,8.491,778.8,5.47,774,84.66,58.4,2,6366,4.045,1.697,287.3912,42.194832,13.659
CONFIRMED,0,0,0,0,54.4205407,148.70471,0.9414,8.559,598,3.2,574,25.6,44.9,3,6781,4.422,1.067,287.3912,42.194832,13.659
FALSE POSITIVE,0,1,1,1,14.32407216,364.39537,1.292,4.6577,2053.9,38.86,782,88.38,58,1,6022,4.453,1.039,294.58929,41.944382,15.609
CONFIRMED,0,0,0,0,27.07237655,139.1127,0.015,6.9592,514.2,2.18,605,31.58,44,1,5936,4.501,0.965,297.20895,41.781712,14.556
CONFIRMED,0,0,0,0,55.6391882,187.55044,0.811,7.316,853,3.13,478,12.33,48.3,1,5949,4.493,0.962,289.08365,48.018131,14.755
CONFIRMED,0,0,0,0,46.6856205,225.04604,0.217,6.3794,588.8,2.52,513,16.41,59,5,5657,4.364,1.046,297.11511,41.909142,13.709
CANDIDATE,0,0,0,0,34.2966363,143.66728,0.711,19.718,696.6,3.29,584,27.6,66.7,1,5490,4.263,1.167,294.23007,48.204479,14.965
CANDIDATE,0,0,0,0,9.97716876,137.2361,0.002,5.908,252.9,2.53,1028,263.89,21.8,1,5557,4.037,1.616,297.79691,39.921371,14.943
FALSE POSITIVE,0,1,0,0,30.8825387,151.5295103,0.197,5.3737,24012,15.4,593,29.12,1266.2,1,6014,4.486,0.993,288.72949,42.55088,14.857
FALSE POSITIVE,0,0,1,0,72.4914068,139.77857,0.989,3.612,1063.5,15.33,700,56.76,39.2,1,5754,3.639,2.758,299.2475,46.951908,13.05
FALSE POSITIVE,0,1,0,0,4.93913074,135.05172,1.167,1.362,382.9,24.03,1182,461.47,22,1,5956,4.324,1.17,291.23883,40.163509,14.832
CONFIRMED,0,0,0,0,2.240486703,137.82477,0.461,1.3988,436.3,1.22,837,115.98,33.8,1,4198,4.689,0.574,290.82602,44.184109,15.224
CANDIDATE,0,0,0,0,105.0145774,228.94455,0.954,7.426,296,2.29,406,6.44,33.9,1,5868,4.363,1.042,294.27728,46.675282,12.9
CONFIRMED,0,0,0,0,4.88084456,136.19585,0.227,2.5574,343,1.55,879,141,32.6,1,4929,4.481,0.861,295.02167,46.619221,14.925
CONFIRMED,0,0,0,0,10.56137217,133.76396,0.963,3.2645,238.4,2.43,867,133.56,21.7,1,5610,4.316,1.171,293.57776,46.73634,14.581
CANDIDATE,0,0,0,0,16.00460392,140.47981,0.49,3.9475,831.9,2.24,583,27.41,34.3,1,5180,4.597,0.769,288.23666,46.605919,15.554
FALSE POSITIVE,0,0,1,1,3.55650737,133.51831,0.01,8.545,293.6,3.05,1405,918.25,77.1,1,4951,3.876,1.843,297.12186,46.221909,14.118
CONFIRMED,0,0,0,0,3.148661555,356.93612,0.652,2.1978,550.5,2.15,1097,342.76,35.3,1,5258,4.458,0.873,297.77927,46.492741,15.297
FALSE POSITIVE,0,1,1,1,0.70544824,133.807063,1.2,2.9423,462.4,20.03,1868,2899.07,118.2,1,5717,4.564,0.826,289.95078,50.657249,14.351
CONFIRMED,0,0,0,0,3.295701024,133.966333,0.267,1.8268,1745.7,2.81,875,138.38,114.7,1,4723,4.628,0.691,294.44177,40.55759,14.84
CONFIRMED,0,0,0,0,5.315954488,132.43002,0.718,1.1165,965.9,2.33,746,73.19,37.7,3,4723,4.628,0.691,294.44177,40.55759,14.84
CONFIRMED,0,0,0,0,10.04556377,129.09371,0.075,3.2027,671.4,2.19,766,81.61,66.5,1,5632,4.554,0.853,284.39429,46.249081,13.024
CONFIRMED,0,0,0,0,1.499144441,133.07022,0.331,1.4259,258.9,1.09,1137,395.06,22.2,4,4723,4.628,0.691,294.44177,40.55759,14.84
CONFIRMED,0,0,0,0,5.082748362,133.21176,0.063,1.7732,276.7,1.4,928,175.06,40.9,1,5430,4.555,0.858,290.05112,46.713371,13.984
FALSE POSITIVE,0,0,1,0,5.00673576,134.54239,0.599,1.9398,191.2,2,1324,726.94,26.6,1,6116,4.158,1.383,298.96255,40.630661,13.518
CONFIRMED,0,0,0,0,9.17617167,138.71393,0.107,4.2642,206.9,1.66,960,200.99,34.3,1,5903,4.3,1.156,282.06128,47.085491,13.797
CONFIRMED,0,0,0,0,19.7383992,133.28544,0.732,4.894,168.1,1.61,744,72.32,20.3,2,5903,4.3,1.156,282.06128,47.085491,13.797
CANDIDATE,0,0,0,0,59.6585348,168.08764,0.956,5.514,1043.8,3.59,393,5.66,21.2,1,5243,4.547,0.831,293.64417,46.989761,15.742
CONFIRMED,0,0,0,0,10.29099413,137.0220594,0.049,4.28889,9655.7,13.43,996,233.08,1245.7,1,5803,4.134,1.373,288.25458,43.704868,14.221
CONFIRMED,0,0,0,0,59.6222627,138.13805,0.873,6.888,993.4,3.63,486,13.23,31.9,1,6108,4.471,0.997,294.2413,47.275982,15.517
FALSE POSITIVE,0,0,1,1,4.9883873,358.23526,0.944,9.059,507.6,3.28,1236,550.52,42.4,1,6418,4.395,1.171,296.4418,46.616711,15.447
CANDIDATE,0,0,0,0,8.19596647,136.68736,0.252,2.824,792.8,2.04,672,48.2,20.2,1,4723,4.557,0.747,295.45715,50.077171,15.858
CONFIRMED,0,0,0,0,15.59466045,137.5636,0.266,5.0478,867.7,2.74,718,62.88,49.2,1,5900,4.5,0.929,297.66452,43.248959,15.43
CONFIRMED,0,0,0,0,56.35407916,144.83768,0.835,3.4449,1037,2.59,352,3.63,59.4,1,4802,4.582,0.701,296.82291,48.107552,13.779
FALSE POSITIVE,0,1,0,0,36.12895451,388.551318,1.474,2.2348,3758.6,53.72,546,21.05,66.3,1,5921,4.484,0.912,289.60678,39.938332,15.6
FALSE POSITIVE,0,1,0,0,32.50456309,365.358295,0.927,2.4657,7589.6,10.68,591,28.8,148.1,1,6132,4.479,0.947,295.04639,46.97459,15.134
FALSE POSITIVE,0,1,1,1,1.332560589,133.38311,0.009,4.2427,566.6,1.4,1086,330.32,108.8,1,4489,4.662,0.609,295.18561,46.786709,15.036
FALSE POSITIVE,0,1,0,0,31.56904354,158.29983,0.985,2.6364,4229.4,11.18,575,25.83,113.6,1,5654,4.387,0.998,297.41965,43.876579,15.042
FALSE POSITIVE,0,1,0,0,9.08590495,182.08162,0.978,2.0718,2121.3,6.28,861,130.1,50.5,1,5931,4.479,0.866,296.03342,40.019611,15.549
FALSE POSITIVE,0,0,0,1,0.784512952,355.57263,1.234,2.4623,586,25.48,1952,3432.93,44.4,1,5997,4.522,0.904,299.556,40.456551,15.59
FALSE POSITIVE,0,0,1,0,0.883778461,133.60599,0.605,1.6339,120.1,1.09,1934,3316.4,31.7,1,5975,4.453,0.949,298.3949,40.62891,14.063
CONFIRMED,0,0,0,0,2.465024332,132.68122,0.548,1.262,30.7,0.69,1561,1406.11,23.2,1,6139,4.291,1.194,284.78619,48.423229,8.769
CONFIRMED,0,0,0,0,15.86624787,141.08734,0.858,4.25,77.3,1.31,879,141.18,28.4,1,6099,4.193,1.308,285.47659,41.632717,11.049
FALSE POSITIVE,0,1,1,0,4.288515468,121.97268,1.283,2.2959,3456.7,76.51,1722,2081.57,292.1,1,6378,3.878,2.002,284.73859,47.169628,13.396
CONFIRMED,0,0,0,0,3.797018259,133.508776,0.321,2.2608,14431,10.07,982,219.64,1549,1,5167,4.527,0.848,290.35803,40.567741,14.741
CONFIRMED,0,0,0,0,1.340596782,132.24549,0.007,1.6484,107.5,1.16,1783,2393.35,37.6,1,5992,4.385,1.125,295.32251,39.376492,11.524
CONFIRMED,0,0,0,0,17.42393582,148.82614,0.927,4.929,770.9,3.29,722,64.13,33.2,1,6018,4.46,0.969,294.32635,47.217609,15.601
CONFIRMED,0,0,0,0,9.8786461,138.41159,0.019,1.8915,1472.7,1.6,393,5.65,49.2,1,3609,4.843,0.422,283.62885,48.391003,13.496
CONFIRMED,0,0,0,0,49.7700907,159.98658,0.655,10.065,3529.2,5.12,455,10.16,109.8,1,5774,4.567,0.818,284.27396,41.535019,15.64
FALSE POSITIVE,0,1,1,1,0.520222869,178.14846,0.562,1.2216,269.5,1.52,2145,5038.49,28.9,1,5776,4.527,0.889,297.04651,49.97039,15.632
CONFIRMED,0,0,0,0,5.83376197,138.74892,0.742,3.9988,532.9,2.98,1143,403.49,36.6,1,6213,4.387,1.195,285.0571,46.320679,15.776
CANDIDATE,0,0,0,0,2.42150341,133.83517,0.55,2.965,171.5,1.62,1532,1305.04,15.8,2,6213,4.387,1.195,285.0571,46.320679,15.776
CONFIRMED,0,0,0,0,8.29084167,359.63666,0.929,3.613,1033.9,3.21,728,66.47,34.7,2,5103,4.562,0.787,299.22433,40.343182,15.812
CONFIRMED,0,0,0,0,16.73869035,359.41655,0.578,2.398,996.8,2.56,576,26.06,20.4,4,5103,4.562,0.787,299.22433,40.343182,15.812
FALSE POSITIVE,0,1,0,0,5.093938816,139.7178386,0.618,3.93144,25027,17.19,1137,395.38,1131.7,1,6197,4.449,1.035,288.25284,51.417332,14.575
CONFIRMED,0,0,0,0,13.93291548,139.41058,0.908,2.6239,131.6,1.66,852,124.53,28.9,1,6026,4.321,1.207,289.50635,45.370998,11.538
CONFIRMED,0,0,0,0,2.36436762,132.25007,0.146,3.372,28.4,0.82,1752,2228.09,12.4,1,6250,4.184,1.543,296.04736,42.743011,11.6
CANDIDATE,0,0,0,0,20.6654374,132.01229,0.05,3.172,100.4,0.66,487,13.35,13.6,1,4830,4.605,0.676,294.99023,39.346378,11.759
CANDIDATE,0,0,0,0,69.8347983,168.78436,0.672,8.262,266.6,3.51,765,80.97,46.8,1,7732,4.075,2.022,293.54889,42.888859,12.02
CONFIRMED,0,0,0,0,2.53475568,132.68024,0.878,4.5716,463,2.02,1218,519.95,51.3,1,5662,4.532,0.806,298.11121,41.758331,15.341
CONFIRMED,0,0,0,0,43.3167427,136.57435,0.034,4.995,987.5,2.42,459,10.47,27.1,1,5654,4.59,0.774,293.60126,42.379761,15.737
FALSE POSITIVE,0,1,0,0,37.59029855,157.350357,0.38,4.3855,19939,14.39,573,25.53,929,1,6147,4.463,1.003,292.87616,48.195309,14.904
CONFIRMED,0,0,0,0,2.617028373,134.03294,0.146,2.046,499.4,1.57,996,233.23,30.8,1,4831,4.568,0.724,290.12231,43.08556,15.835
FALSE POSITIVE,0,0,1,0,1.876406096,133.12761,0.302,1.531,433.8,1.57,1192,476.68,37,1,5198,4.6,0.759,291.23114,50.56702,15.202
CONFIRMED,0,0,0,0,150.2412582,138.29013,0.345,10.849,2378.5,4.6,327,2.72,72.3,1,5604,4.451,0.943,287.28531,51.249981,14.827
CONFIRMED,0,0,0,0,53.44944498,149.20185,0.092,5.3091,3437,5.82,486,13.23,119.5,1,5919,4.485,1,291.0838,40.355251,15.287
FALSE POSITIVE,0,1,1,1,0.466743525,133.971123,1.186,1.3956,796.1,20.43,2197,5480.92,103.6,1,5791,4.549,0.856,296.33319,40.896259,15.33
FALSE POSITIVE,0,0,1,0,1.727177258,355.37033,0.676,2.081,347.4,1.42,1250,576.55,17.1,1,5394,4.622,0.72,299.14142,40.725899,15.935
CONFIRMED,0,0,0,0,10.29674097,132.19453,0.298,2.7292,1011.8,5.75,1129,384.86,31.3,1,6068,4.04,1.797,297.58313,41.952431,15.767
CANDIDATE,0,0,0,0,5.93919041,353.75537,0.107,2.285,424.5,3.7,1357,801.92,15.9,2,6068,4.04,1.797,297.58313,41.952431,15.767
CONFIRMED,0,0,0,0,19.74733983,147.10553,0.595,3.4444,480.7,2.62,754,76.57,47.1,1,6243,4.406,1.149,298.39575,42.459751,12.949
CONFIRMED,0,0,0,0,30.36044536,148.091546,0.359,6.0134,21125,10.99,459,10.47,1126.2,1,4939,4.541,0.765,284.87997,49.266991,14.388
CANDIDATE,0,0,0,0,4.16787814,135.28334,0.168,2.2136,168.1,1.07,962,202.48,32.9,1,5251,4.541,0.847,291.74838,39.44688,13.293
CONFIRMED,0,0,0,0,26.964501,145.34426,0.006,3.792,601.7,2.2,573,25.56,20.1,1,5754,4.534,0.905,294.36673,42.252682,15.789
FALSE POSITIVE,0,1,1,1,2.178154348,134.203059,1.21,3.4874,428.6,22.22,1392,886.88,93,1,5947,4.482,0.881,288.01486,46.348949,14.07
CONFIRMED,0,0,0,0,5.03257009,137.32638,0.97,4.213,439.1,2.53,1047,283.49,26.3,1,5970,4.521,0.908,282.36349,46.67524,15.695
CONFIRMED,0,0,0,0,21.3588236,135.07022,0.092,5.823,640.1,2.52,691,53.89,33.2,1,6170,4.472,0.992,295.40253,50.47863,15.259
CONFIRMED,0,0,0,0,22.0459163,136.47548,0.837,5.22,804.8,3.05,640,39.69,29.7,1,5900,4.509,0.951,294.52713,43.36816,15.689
CONFIRMED,0,0,0,0,17.32670445,360.5083,0.756,4.269,800,2.23,535,19.38,34.8,2,4955,4.61,0.721,288.53867,40.61615,15.565
CONFIRMED,0,0,0,0,44.8411168,359.87359,0.864,5.902,1051.6,2.75,390,5.45,28.9,4,4955,4.61,0.721,288.53867,40.61615,15.565
FALSE POSITIVE,0,0,1,0,1.008917105,354.85926,0.545,1.4577,338.5,1.51,1636,1698.88,34.2,1,5708,4.578,0.795,297.50385,40.342972,15.36
CONFIRMED,0,0,0,0,13.75207851,143.03241,0.836,2.8831,1215.6,2.81,556,22.57,36.8,1,4802,4.616,0.699,283.12964,43.888241,15.587
CANDIDATE,0,0,0,0,11.30507984,138.13638,0.195,3.989,278.4,1.4,744,72.67,19.5,1,5705,4.556,0.844,290.25964,45.388409,15.152
CONFIRMED,0,0,0,0,4.59489816,133.83995,0.953,3.1381,109.7,1.85,1319,716.65,27.7,1,6056,4.217,1.381,290.59207,45.737141,13.298
CONFIRMED,0,0,0,0,32.2964275,138.52615,0.207,4.561,472.2,1.9,503,15.14,17.9,1,5246,4.47,0.891,290.98331,45.973301,15.2
CANDIDATE,0,0,0,0,12.68173393,132.682519,0.929,1.6866,5879.1,7.25,601,30.84,102.8,1,4976,4.577,0.701,286.0528,50.256592,15.303
FALSE POSITIVE,0,1,0,0,6.814984472,134.212391,0.793,3.05409,23915,14.18,836,115.58,742.2,1,5465,4.566,0.817,296.66086,43.816441,15.981
CONFIRMED,0,0,0,0,7.891448838,177.2499624,0.306,4.2854,10345,12.63,1028,263.54,1955.1,1,5972,4.313,1.237,282.62967,46.32336,13.435
CONFIRMED,0,0,0,0,2.578852119,133.2237,0.625,2.3581,334.3,1.63,1230,540.56,36.7,1,5743,4.553,0.853,295.41745,43.60564,15.106
FALSE POSITIVE,0,1,1,0,9.04189129,137.86611,0.967,2.789,783.4,3.24,729,66.83,34.5,1,5237,4.572,0.826,286.88751,50.377071,14.88
CONFIRMED,0,0,0,0,30.22910274,134.52081,0.77,6.6751,443.4,3.49,755,76.88,71.7,1,6325,4.188,1.518,291.64676,41.884659,13.432
FALSE POSITIVE,0,1,1,1,0.798200403,133.962079,1.193,1.8261,396.8,24.03,2128,4875.01,65.9,1,6258,4.449,1.031,296.98853,46.596882,14.613
CANDIDATE,0,1,0,0,3.479425638,136.797172,0.612,3.4479,19550,12.86,1166,435.85,123.3,1,5907,4.519,0.878,295.6713,40.59906,14.041
FALSE POSITIVE,0,0,1,0,2.92878704,356.28699,1.212,4.634,549.4,22.76,1239,556.77,47.7,1,5955,4.534,0.883,297.82944,40.706779,15.148
CONFIRMED,0,0,0,0,9.80321143,363.98686,0.663,4.4617,813.4,2.99,896,152.12,53.1,1,6170,4.472,0.992,288.73407,46.939388,15.439
CANDIDATE,0,0,0,0,24.81097206,156.506971,0.039,3.2245,2090.8,4.22,631,37.43,123.9,1,6086,4.511,0.921,296.84616,40.138611,14.373
CANDIDATE,0,0,0,0,7.136922,131.75317,0.072,2.8005,221.6,1.38,956,197.05,23.7,2,6086,4.511,0.921,296.84616,40.138611,14.373
FALSE POSITIVE,0,1,0,0,2.621706694,131.88227,1.279,1.941,4572,34.68,1288,648.75,24.3,1,5749,4.436,0.881,297.38153,48.565041,15.399
CANDIDATE,0,0,0,0,3.72020708,133.41684,0.341,1.892,156.9,0.99,954,195.7,15,1,5017,4.516,0.797,298.46579,48.55941,14.293
FALSE POSITIVE,0,1,0,0,12.26486736,139.304999,0.818,4.7366,11311,28.29,1077,317.89,560.2,1,5372,3.81,2.344,284.64886,41.015018,14.137
CONFIRMED,0,0,0,0,8.689301216,133.661284,0.029,2.563,1117,2.92,782,88.24,70.9,1,5211,4.447,0.895,298.60788,46.453678,14.548
FALSE POSITIVE,0,0,1,0,0.979442525,132.42297,0.388,1.0348,469.3,1.64,1567,1420.01,27,1,5532,4.607,0.745,298.14053,40.073872,15.747
CONFIRMED,0,1,0,0,3.120828136,139.466594,0.784,2.1878,16456,14.16,1303,680.79,113.5,1,6122,4.471,0.996,282.96616,48.34507,14.804
FALSE POSITIVE,0,0,1,0,1.399326503,133.61426,0.009,1.8305,206.4,1,1143,402.58,22.7,1,4502,4.572,0.728,289.32101,46.134319,15.447
CONFIRMED,0,0,0,0,7.06117322,136.27344,0.845,1.0406,481.7,1.23,521,17.41,27.2,2,4042,4.761,0.49,283.13547,43.657051,14.39
CONFIRMED,0,0,0,0,20.55331441,139.5613,0.795,5.3136,678.3,3.19,749,74.49,40.6,1,6325,4.409,1.112,296.4032,51.271339,14.829
CONFIRMED,0,0,0,0,40.0686713,151.80901,0.029,5.8875,970.9,3.1,560,23.27,62,1,6026,4.411,0.992,294.95685,43.014332,14.683
CONFIRMED,1,0,0,0,191.239133,286.22034,0.876,16.942,1061.2,6.47,401,6.14,36.8,2,5597,3.963,1.699,297.91687,46.96513,14.6
CANDIDATE,0,0,0,0,5.83393857,132.63426,0.398,4.5813,134.4,1.98,1285,642.83,17.6,3,5597,3.963,1.699,297.91687,46.96513,14.6
FALSE POSITIVE,0,1,1,0,24.3282251,141.05149,4.426,6.158,1120.6,294.02,520,17.33,26.4,1,5286,4.59,0.78,296.99191,40.758911,15.952
CONFIRMED,0,0,0,0,14.97031664,134.50507,0.352,5.884,290.5,2.53,883,143.33,28.9,1,5726,4.123,1.483,298.29495,48.775459,14.167
CONFIRMED,0,0,0,0,32.2753853,149.046,0.608,8.622,223.9,2.31,683,51.5,17.9,2,5726,4.123,1.483,298.29495,48.775459,14.167
CANDIDATE,0,0,0,0,6.33027476,133.86213,0.3288,3.67,89.2,1.02,1046,283.31,9.8,3,5900,4.363,1.07,298.29495,48.775459,14.167
CANDIDATE,0,0,0,0,4.04355245,131.62995,0.984,1.965,416.2,1.75,613,33.34,21.2,1,3871,4.744,0.532,284.13287,49.142609,14.963
CANDIDATE,0,0,0,0,5.59728249,131.86708,0.473,1.795,1407.3,3.28,930,176.53,30.8,1,5610,4.551,0.858,295.43436,42.166321,15.969
CONFIRMED,0,0,0,0,8.77514782,133.70319,0.504,3.176,351.9,1.91,837,115.84,12.7,2,5334,4.372,1.004,294.94388,39.032059,15.377
CANDIDATE,0,0,0,0,10.12742274,135.26504,0.696,1.2762,933.5,3.8,969,208.77,19.5,1,6392,4.399,1.162,294.14682,39.12706,15.623
CONFIRMED,0,0,0,0,5.1443645,133.83044,0.031,2.703,310.7,1.55,923,171.63,20.2,1,5157,4.445,0.904,283.47818,43.383781,15.369
CONFIRMED,0,0,0,0,18.45848388,138.1635,0.832,3.3703,535.3,2.5,632,37.81,41.5,1,5311,4.419,0.948,289.85913,46.522671,14.516
CANDIDATE,0,0,0,0,21.06075303,143.59983,0.176,5.2472,301.2,1.78,669,47.39,54.4,1,5706,4.382,1.034,298.17722,42.237041,13.182
CONFIRMED,0,0,0,0,13.08424286,132.63129,0.701,3.0401,662,2.71,739,70.51,51.2,2,5511,4.426,0.987,297.79514,40.417709,14.072
CONFIRMED,0,0,0,0,2.684328541,133.3548095,0.076,2.69382,18136,12.73,1265,603.57,2833.1,1,5561,4.411,0.956,292.85574,46.391178,14.29
